pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,82.49,winning_ticket,Conv-6,5
1,17.46943194361892,82.53056805638109,83.57,winning_ticket,Conv-6,5
2,31.824566244940698,68.1754337550593,84.21,winning_ticket,Conv-6,5
3,43.63125689904051,56.36874310095949,83.86,winning_ticket,Conv-6,5
4,53.350899351843985,46.64910064815601,83.66,winning_ticket,Conv-6,5
5,61.35984510769579,38.64015489230421,82.95,winning_ticket,Conv-6,5
6,67.96510146896493,32.03489853103507,82.6,winning_ticket,Conv-6,5
7,73.41777582010133,26.582224179898674,81.45,winning_ticket,Conv-6,5
8,77.92311461605955,22.076885383940446,81.18,winning_ticket,Conv-6,5
9,81.64903873368996,18.35096126631004,80.96,winning_ticket,Conv-6,5
10,84.73326363533441,15.266736364665592,79.69,winning_ticket,Conv-6,5
11,87.28851787382186,12.711482126178145,78.34,winning_ticket,Conv-6,5
12,89.40745202513374,10.592547974866266,77.39,winning_ticket,Conv-6,5
13,91.1661766578925,8.833823342107499,75.69,winning_ticket,Conv-6,5
14,92.62709270895247,7.372907291047522,73.96,winning_ticket,Conv-6,5
15,93.8417218589907,6.158278141009312,73.16,winning_ticket,Conv-6,5
16,94.85247551725114,5.147524482748861,70.63,winning_ticket,Conv-6,5
17,95.69420268319607,4.3057973168039405,67.29,winning_ticket,Conv-6,5
18,96.39578203277574,3.6042179672242507,61.3,winning_ticket,Conv-6,5
19,96.98100641080072,3.0189935891992867,59.59,winning_ticket,Conv-6,5
20,97.46951154793241,2.5304884520675897,56.05,winning_ticket,Conv-6,5
